"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 5. Service and sales workers","Currency: U.S. dollars","2014",203.982,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2014",94.028,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 7. Craft and related trades workers","Currency: U.S. dollars","2014",97.35,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","Currency: U.S. dollars","2014",181.012,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 9. Elementary occupations","Currency: U.S. dollars","2014",107.879,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 0. Armed forces occupations","Currency: U.S. dollars","2014",241.947,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): X. Not elsewhere classified","Currency: U.S. dollars","2014",196.953,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): Total","Currency: U.S. dollars","2014",159.573,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 1. Managers","Currency: U.S. dollars","2014",305.598,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 2. Professionals","Currency: U.S. dollars","2014",197.077,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 3. Technicians and associate professionals","Currency: U.S. dollars","2014",229.725,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 4. Clerical support workers","Currency: U.S. dollars","2014",271.343,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
